;grid;on_wind;hydrogen_storage;Curtailment
7907;6.92;0.0;190.06;0.0
7908;6.92;0.0;190.09;0.0
7909;6.92;0.0;190.15;0.0
7910;6.92;0.0;190.59;0.0
7911;6.92;0.0;192.1;0.0
7912;6.92;0.0;193.32;0.0
7913;6.92;0.0;192.6;0.0
7914;6.92;0.0;192.1;0.0
7915;6.92;0.0;195.33;0.0
7916;6.92;0.0;195.3;0.0
7917;6.92;0.0;195.27;0.0
7918;6.92;0.0;195.37;0.0
7919;6.92;0.0;195.68;0.0
7920;6.92;0.0;196.06;0.0
7921;6.92;0.0;196.46;0.0
7922;6.92;0.0;196.84;0.0
7923;6.92;0.0;196.31;0.0
7924;6.92;0.0;195.52;0.0
7925;6.92;0.0;191.91;0.0
7926;6.92;0.0;192.13;0.0
7927;6.92;0.0;192.35;0.0
7928;6.92;0.0;192.35;0.0
7929;6.92;0.0;192.41;0.0
7930;6.92;0.0;192.88;0.0
7931;6.92;0.0;193.54;0.0
7932;6.92;0.0;194.26;0.0
7933;6.92;0.0;195.01;0.0
7934;6.92;0.0;195.29;0.0
7935;6.92;0.0;195.8;0.0
7936;6.92;0.0;196.58;0.0
7937;6.92;0.0;196.99;0.0
7938;6.92;0.0;197.14;0.0
7939;6.92;0.0;200.57;0.0
7940;6.92;0.0;200.79;0.0
7941;6.92;0.0;201.29;0.0
7942;6.92;0.0;201.82;0.0
7943;6.92;0.0;202.36;0.0
7944;6.92;0.36;203.14;0.36
7945;6.92;1.13;203.14;1.13
7946;6.92;2.86;203.14;2.86
7947;6.92;1.55;203.14;1.55
7948;6.92;2.8;203.14;2.8
7949;6.92;0.0;199.65;0.0
7950;6.92;0.0;197.27;0.0
7951;6.92;0.0;196.05;0.0
7952;6.92;0.0;194.51;0.0
7953;6.92;0.0;193.44;0.0
7954;6.92;0.0;192.69;0.0
7955;6.92;0.0;191.25;0.0
7956;6.92;0.0;190.34;0.0
7957;6.92;0.0;189.9;0.0
7958;6.92;0.0;189.52;0.0
7959;6.43;0.0;189.37;0.0
7960;3.93;0.0;189.37;0.0
7961;2.79;0.0;189.37;0.0
7962;5.42;0.0;189.37;0.0
7963;6.92;0.0;195.33;0.0
7964;6.92;0.0;198.75;0.0
7965;6.92;0.0;201.07;0.0
7966;6.92;4.71;203.14;4.71
7967;6.92;12.77;203.14;12.77
7968;6.92;16.29;203.14;16.29
7969;6.92;12.23;203.14;12.23
7970;6.92;9.13;203.14;9.13
7971;6.92;8.71;203.14;8.71
7972;6.92;11.7;203.14;11.7
7973;6.92;7.64;199.81;7.64
7974;6.92;5.07;199.81;5.07
7975;6.92;2.69;199.81;2.69
7976;6.92;0.0;198.65;0.0
7977;6.92;0.0;198.93;0.0
7978;6.92;0.0;197.14;0.0
7979;6.92;0.0;195.92;0.0
7980;6.92;0.0;196.8;0.0
7981;6.92;0.0;195.95;0.0
7982;6.92;0.0;195.11;0.0
7983;6.92;0.0;193.95;0.0
7984;6.92;0.0;193.19;0.0
7985;6.92;0.0;192.47;0.0
7986;6.92;0.0;192.1;0.0
7987;6.92;0.0;195.52;0.0
7988;6.92;0.0;195.59;0.0
7989;6.92;0.0;195.33;0.0
7990;6.92;0.0;194.64;0.0
7991;6.92;0.0;193.92;0.0
7992;6.92;0.0;193.01;0.0
7993;5.66;0.0;192.7;0.0
7994;4.35;0.0;192.7;0.0
7995;3.27;0.0;192.7;0.0
7996;2.26;0.0;192.7;0.0
7997;1.72;0.0;189.37;0.0
7998;1.84;0.0;189.37;0.0
7999;2.38;0.0;189.37;0.0
8000;2.85;0.0;189.37;0.0
8001;2.85;0.0;189.37;0.0
8002;2.61;0.0;189.37;0.0
8003;2.08;0.0;189.37;0.0
8004;1.66;0.0;189.37;0.0
8005;1.66;0.0;189.37;0.0
8006;2.73;0.0;189.37;0.0
8007;4.7;0.0;189.37;0.0
8008;6.91;0.0;189.37;0.0
8009;6.92;0.0;190.12;0.0
8010;6.92;0.0;190.47;0.0
8011;6.92;0.0;193.64;0.0
8012;6.92;0.0;193.2;0.0
8013;6.55;0.0;192.7;0.0
8014;5.66;0.0;192.7;0.0
8015;5.18;0.0;192.7;0.0
8016;4.7;0.0;192.7;0.0
8017;4.46;0.0;192.7;0.0
8018;4.23;0.0;192.7;0.0
8019;3.57;0.0;192.7;0.0
8020;2.73;0.0;192.7;0.0
8021;2.2;0.0;189.37;0.0
8022;2.02;0.0;189.37;0.0
8023;2.02;0.0;189.37;0.0
8024;2.14;0.0;189.37;0.0
8025;2.14;0.0;189.37;0.0
8026;2.26;0.0;189.37;0.0
8027;2.44;0.0;189.37;0.0
8028;2.73;0.0;189.37;0.0
8029;2.91;0.0;189.37;0.0
8030;2.97;0.0;189.37;0.0
8031;2.56;0.0;189.37;0.0
8032;2.38;0.0;189.37;0.0
8033;2.2;0.0;189.37;0.0
8034;2.14;0.0;189.37;0.0
8035;1.96;0.0;192.7;0.0
8036;1.72;0.0;192.7;0.0
8037;1.78;0.0;192.7;0.0
8038;2.02;0.0;192.7;0.0
8039;2.44;0.0;192.7;0.0
8040;3.03;0.0;192.7;0.0
8041;3.69;0.0;192.7;0.0
8042;4.29;0.0;192.7;0.0
8043;4.29;0.0;192.7;0.0
8044;4.11;0.0;192.7;0.0
8045;4.52;0.0;189.37;0.0
8046;5.12;0.0;189.37;0.0
8047;5.54;0.0;189.37;0.0
8048;5.66;0.0;189.37;0.0
8049;5.84;0.0;189.37;0.0
8050;6.2;0.0;189.37;0.0
8051;6.91;0.0;189.37;0.0
8052;6.92;0.0;189.78;0.0
8053;6.92;0.0;189.9;0.0
8054;6.92;0.0;189.9;0.0
8055;6.92;0.0;190.65;0.0
8056;6.92;0.0;191.09;0.0
8057;6.92;0.0;190.97;0.0
8058;6.92;0.0;191.06;0.0
8059;6.92;9.07;189.72;9.07
8060;6.92;8.47;189.72;8.47
8061;6.92;7.46;189.72;7.46
8062;6.92;6.45;189.72;6.45
8063;6.92;5.55;189.72;5.55
8064;6.14;0.0;192.7;0.0
8065;5.3;0.0;192.7;0.0
8066;4.76;0.0;192.7;0.0
8067;4.46;0.0;192.7;0.0
8068;4.41;0.0;192.7;0.0
