snapshot;on_wind;grid;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
93;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
94;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
95;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
96;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
97;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
98;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
99;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
100;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
101;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
102;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
103;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
104;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
105;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
106;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
107;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
108;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
109;21.01;-0.0;-1.04;19.03;11.04;-11.04;-11.04;1.98;0.0;10.0
110;16.65;-0.0;1.25;15.08;8.75;-8.75;-8.75;1.57;0.0;10.0
111;16.53;-0.0;1.31;14.97;8.68;-8.68;-8.68;1.56;0.0;10.0
112;15.76;-0.0;1.72;14.27;8.28;-8.28;-8.28;1.48;0.0;10.0
113;13.43;-0.0;2.94;12.16;7.05;-7.05;-7.05;1.26;0.0;10.0
114;12.0;-0.0;3.7;10.87;6.3;-6.3;-6.3;1.13;0.0;10.0
115;12.0;-0.0;0.36;10.87;6.3;-6.3;-6.3;1.13;0.0;6.67
116;12.29;-0.0;0.21;11.14;6.46;-6.46;-6.46;1.16;0.0;6.67
117;13.07;-0.0;-0.2;11.84;6.87;-6.87;-6.87;1.23;0.0;6.67
