snapshot;hydrogen_storage
113;2.944403363740025
114;3.6968936716077545
115;0.3638936716077543
116;0.20712485746864484
117;-0.20047405929304318
118;-1.4546245724059261
119;-3.022312713797035
120;-5.123014823261116
121;-5.812797605473202
122;-6.032273945267956
123;-6.502580387685287
124;-6.753410490307866
125;-3.4204104903078663
126;-3.4204104903078663
127;-3.4204104903078663
128;-3.4204104903078663
129;-3.4204104903078663
130;-3.4204104903078663
131;-3.4204104903078663
132;-3.4204104903078663
133;-3.4204104903078663
134;-1.9781374002280483
135;-0.22232668187001003
136;1.0318238312428765
137;1.2199464082098075
138;0.592871151653366
139;-3.5866804446978318
140;-4.025633124287342
141;-4.809477194982893
142;-4.74676966932725
143;-5.3111374002280485
144;-6.000920182440135
145;-6.753410490307866
146;-6.2831040478905305
147;-5.4992599771949795
148;-4.495939566704672
149;-1.2570008551881369
150;-2.2603212656784475
151;-1.946783637400225
152;-1.2570008551881369
153;-0.15961915621436518
154;0.3733948118586099
155;0.7809937286202988
156;0.09121094640821248
157;-1.9781374002280483
158;-3.4204104903078663
159;-3.4204104903078663
160;-3.4204104903078663
161;-3.4204104903078663
162;-3.4204104903078663
163;6.666
164;6.666
165;6.666
166;6.666
167;6.666
168;-6.753410490307866
169;-6.753410490307866
170;-6.753410490307866
171;-6.753410490307866
172;-6.753410490307866
173;-3.4204104903078663
174;-2.479797605473202
175;-1.946783637400225
176;-1.9154298745724034
177;-0.880755701254273
178;-1.351062143671605
179;-1.601892246294181
180;-1.7900148232611155
181;-1.601892246294181
182;-2.1349062143671595
183;-3.4204104903078663
184;-3.4204104903078663
185;-3.4204104903078663
186;-3.4204104903078663
187;-6.753410490307866
188;-6.753410490307866
189;-6.753410490307866
190;-6.753410490307866
191;-5.875505131128847
192;-4.652708380843784
193;-3.868864310148231
194;-3.5866804446978318
195;-2.39523745724059
196;-2.708775085518811
197;-1.695953534777649
198;-3.4204104903078663
199;-3.4204104903078663
200;-1.5705384834663612
201;0.7809937286202988
202;-0.7239868871151618
203;-3.3890567274800425
204;-2.9187502850627105
205;-2.1035524515393362
206;-1.601892246294181
207;-1.351062143671605
208;-0.7553406499429869
209;-1.1942933295324938
210;-0.22232668187001003
211;-3.523972919042187
212;-4.684062143671605
213;-6.094981470923599
214;-6.377165336373999
215;-6.189042759407068
216;-5.060307297605471
217;-4.464585803876851
218;-4.025633124287342
219;-4.715415906499427
220;-4.872184720638538
221;-2.1662599771949793
222;-1.9781374002280483
223;-2.009491163055868
224;-2.1976137400228044
