;on_wind;battery storage;hydrogen_storage;Curtailment
3028;0.0;32.46;519.31;0.0
3029;2.13;33.85;515.97;2.13
3030;0.0;39.59;515.97;0.0
3031;0.0;39.1;515.97;0.0
3032;0.0;39.35;515.97;0.0
3033;0.0;39.84;515.97;0.0
3034;0.0;39.1;515.97;0.0
3035;0.0;37.87;515.97;0.0
3036;0.0;36.48;515.97;0.0
3037;0.0;35.82;515.97;0.0
3038;0.0;35.9;515.97;0.0
3039;0.0;36.39;515.97;0.0
3040;0.0;35.9;515.97;0.0
3041;0.0;35.49;515.97;0.0
3042;0.0;37.38;515.97;0.0
3043;0.0;38.77;519.31;0.0
3044;0.0;35.98;519.31;0.0
3045;0.0;33.85;519.22;0.0
3046;0.0;33.85;518.92;0.0
3047;0.0;33.85;518.88;0.0
3048;0.0;33.85;518.75;0.0
3049;0.0;33.85;518.01;0.0
3050;0.0;33.85;516.98;0.0
3051;0.0;33.85;516.2;0.0
3052;0.0;33.85;515.21;0.0
3053;0.0;33.85;511.71;0.0
3054;0.0;33.85;511.58;0.0
3055;0.0;30.15;513.44;0.0
3056;0.0;30.56;513.44;0.0
3057;0.0;33.85;511.92;0.0
3058;0.0;33.85;511.71;0.0
3059;0.0;33.85;511.24;0.0
3060;0.0;29.5;513.44;0.0
3061;0.0;31.2;512.59;0.0
3062;0.0;24.75;515.97;0.0
3063;0.0;30.32;513.44;0.0
3064;0.0;33.85;512.1;0.0
3065;0.0;26.72;515.97;0.0
3066;0.0;33.85;515.15;0.0
3067;0.0;40.82;519.31;0.0
3068;0.0;42.87;519.31;0.0
3069;0.0;41.07;519.31;0.0
3070;0.0;38.77;519.31;0.0
3071;0.0;36.89;519.31;0.0
3072;0.0;35.74;519.31;0.0
3073;0.0;34.59;519.31;0.0
3074;0.0;33.36;519.31;0.0
3075;0.0;33.03;519.31;0.0
3076;0.0;33.85;517.5;0.0
3077;0.0;23.6;515.97;0.0
3078;0.0;29.75;510.93;0.0
3079;0.0;24.1;515.97;0.0
3080;0.0;33.85;513.39;0.0
3081;0.0;33.85;515.46;0.0
3082;0.0;37.79;515.97;0.0
3083;0.0;41.07;515.97;0.0
3084;0.0;40.82;515.97;0.0
3085;0.0;38.53;515.97;0.0
3086;0.0;36.48;515.97;0.0
3087;0.0;33.85;515.63;0.0
3088;0.0;33.85;513.56;0.0
3089;0.0;33.85;513.65;0.0
3090;0.0;33.11;515.24;0.0
3091;0.0;34.59;519.31;0.0
3092;0.0;33.85;518.92;0.0
3093;0.0;33.85;517.15;0.0
3094;0.0;33.85;515.0;0.0
3095;0.0;33.85;513.02;0.0
3096;0.0;33.85;511.51;0.0
3097;0.0;33.85;510.61;0.0
3098;0.0;33.85;510.61;0.0
3099;0.0;33.85;511.85;0.0
3100;0.0;33.85;512.07;0.0
3101;0.0;33.85;508.74;0.0
3102;0.0;33.85;509.04;0.0
3103;0.0;33.85;509.9;0.0
