snapshot;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
6647;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6648;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6649;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6650;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6651;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6652;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6653;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6654;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6655;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6656;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6657;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6658;19.03;0.0;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
6659;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6660;21.08;0.0;-1.08;19.1;11.08;-11.08;-11.08;1.99;0.0;10.0
6661;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6662;23.28;0.0;-2.23;21.09;12.23;-12.23;-12.23;2.19;0.0;10.0
6663;15.82;0.0;1.69;14.33;8.31;-8.31;-8.31;1.49;0.0;10.0
6664;14.02;0.0;2.63;12.7;7.37;-7.37;-7.37;1.32;0.0;10.0
6665;14.84;0.0;2.2;13.44;7.8;-7.8;-7.8;1.4;0.0;10.0
6666;15.49;0.0;1.86;14.04;8.14;-8.14;-8.14;1.46;0.0;10.0
6667;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6668;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6669;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6670;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6671;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6672;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6673;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6674;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
6675;21.62;0.0;-4.69;19.58;11.36;-11.36;-11.36;2.04;0.0;6.67
6676;12.69;0.0;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
6677;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6678;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6679;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6680;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6681;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6682;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6683;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6684;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6685;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6686;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6687;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6688;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6689;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
