;grid;PEM input;Compressor;hydrogen_storage;Curtailment
198;17.36;-15.73;-1.64;0.88;0
199;17.36;-15.73;-1.64;0.88;0
200;17.36;-15.73;-1.64;0.88;0
201;17.36;-15.73;-1.64;0.88;0
202;17.36;-15.73;-1.64;0.88;0
203;17.36;-15.73;-1.64;0.88;0
204;17.36;-15.73;-1.64;0.88;0
205;17.36;-15.73;-1.64;0.88;0
206;17.36;-15.73;-1.64;0.88;0
207;17.36;-15.73;-1.64;0.88;0
208;17.36;-15.73;-1.64;0.88;0
209;17.36;-15.73;-1.64;0.88;0
210;17.36;-15.73;-1.64;0.88;0
211;3.86;-3.49;-0.36;4.64;0
212;17.36;-15.73;-1.64;-2.46;0
213;17.36;-15.73;-1.64;-2.46;0
214;17.36;-15.73;-1.64;-2.46;0
215;17.36;-15.73;-1.64;-2.46;0
216;17.36;-15.73;-1.64;-2.46;0
217;17.36;-15.73;-1.64;-2.46;0
218;3.86;-3.49;-0.36;4.64;0
219;17.36;-15.73;-1.64;-2.46;0
220;17.36;-15.73;-1.64;-2.46;0
221;17.36;-15.73;-1.64;0.88;0
222;17.36;-15.73;-1.64;0.88;0
223;17.36;-15.73;-1.64;0.88;0
224;17.36;-15.73;-1.64;0.88;0
225;17.36;-15.73;-1.64;0.88;0
226;17.36;-15.73;-1.64;0.88;0
227;17.36;-15.73;-1.64;0.88;0
228;6.34;-5.75;-0.6;6.67;0
229;17.36;-15.73;-1.64;0.88;0
230;17.36;-15.73;-1.64;0.88;0
231;17.36;-15.73;-1.64;0.88;0
232;17.36;-15.73;-1.64;0.88;0
233;17.36;-15.73;-1.64;0.88;0
234;17.36;-15.73;-1.64;0.88;0
235;17.36;-15.73;-1.64;-2.46;0
236;17.36;-15.73;-1.64;-2.46;0
237;17.36;-15.73;-1.64;-2.46;0
238;12.69;-11.49;-1.2;0.0;0
239;17.36;-15.73;-1.64;-2.46;0
240;17.36;-15.73;-1.64;-2.46;0
241;17.36;-15.73;-1.64;-2.46;0
242;17.36;-15.73;-1.64;-2.46;0
243;17.36;-15.73;-1.64;-2.46;0
244;17.36;-15.73;-1.64;-2.46;0
245;17.36;-15.73;-1.64;0.88;0
246;6.34;-5.75;-0.6;6.67;0
247;17.36;-15.73;-1.64;0.88;0
248;17.36;-15.73;-1.64;0.88;0
249;17.36;-15.73;-1.64;0.88;0
250;17.36;-15.73;-1.64;0.88;0
251;9.68;-8.77;-0.91;4.91;0
252;17.36;-15.73;-1.64;0.88;0
253;17.36;-15.73;-1.64;0.88;0
254;17.36;-15.73;-1.64;0.88;0
255;17.36;-15.73;-1.64;0.88;0
256;17.36;-15.73;-1.64;0.88;0
257;17.36;-15.73;-1.64;0.88;0
258;17.36;-15.73;-1.64;0.88;0
259;12.69;-11.49;-1.2;0.0;0
260;15.36;-13.91;-1.45;-1.4;0
261;17.36;-15.73;-1.64;-2.46;0
262;17.36;-15.73;-1.64;-2.46;0
263;17.36;-15.73;-1.64;-2.46;0
264;17.36;-15.73;-1.64;-2.46;0
265;17.36;-15.73;-1.64;-2.46;0
266;17.36;-15.73;-1.64;-2.46;0
267;17.36;-15.73;-1.64;-2.46;0
268;17.36;-15.73;-1.64;-2.46;0
269;17.36;-15.73;-1.64;0.88;0
270;17.36;-15.73;-1.64;0.88;0
271;17.36;-15.73;-1.64;0.88;0
272;17.36;-15.73;-1.64;0.88;0
273;17.36;-15.73;-1.64;0.88;0
274;17.36;-15.73;-1.64;0.88;0
275;17.36;-15.73;-1.64;0.88;0
276;17.36;-15.73;-1.64;0.88;0
277;17.36;-15.73;-1.64;0.88;0
278;17.36;-15.73;-1.64;0.88;0
279;17.36;-15.73;-1.64;0.88;0
280;17.36;-15.73;-1.64;0.88;0
281;17.36;-15.73;-1.64;0.88;0
282;17.36;-15.73;-1.64;0.88;0
283;17.36;-15.73;-1.64;-2.46;0
284;17.36;-15.73;-1.64;-2.46;0
285;17.36;-15.73;-1.64;-2.46;0
286;17.36;-15.73;-1.64;-2.46;0
287;17.36;-15.73;-1.64;-2.46;0
288;17.36;-15.73;-1.64;-2.46;0
289;17.36;-15.73;-1.64;-2.46;0
290;17.36;-15.73;-1.64;-2.46;0
291;17.36;-15.73;-1.64;-2.46;0
292;17.36;-15.73;-1.64;-2.46;0
293;17.36;-15.73;-1.64;0.88;0
294;17.36;-15.73;-1.64;0.88;0
295;17.36;-15.73;-1.64;0.88;0
296;17.36;-15.73;-1.64;0.88;0
297;17.36;-15.73;-1.64;0.88;0
298;17.36;-15.73;-1.64;0.88;0
299;17.36;-15.73;-1.64;0.88;0
300;17.36;-15.73;-1.64;0.88;0
301;17.36;-15.73;-1.64;0.88;0
302;17.36;-15.73;-1.64;0.88;0
303;17.36;-15.73;-1.64;0.88;0
304;17.36;-15.73;-1.64;0.88;0
305;17.36;-15.73;-1.64;0.88;0
306;17.36;-15.73;-1.64;0.88;0
307;17.36;-15.73;-1.64;-2.46;0
308;17.36;-15.73;-1.64;-2.46;0
309;17.36;-15.73;-1.64;-2.46;0
310;17.36;-15.73;-1.64;-2.46;0
311;17.36;-15.73;-1.64;-2.46;0
312;17.36;-15.73;-1.64;-2.46;0
313;17.36;-15.73;-1.64;-2.46;0
314;17.36;-15.73;-1.64;-2.46;0
315;17.36;-15.73;-1.64;-2.46;0
316;17.36;-15.73;-1.64;-2.46;0
317;17.36;-15.73;-1.64;0.88;0
318;17.36;-15.73;-1.64;0.88;0
319;17.36;-15.73;-1.64;0.88;0
320;17.36;-15.73;-1.64;0.88;0
321;17.36;-15.73;-1.64;0.88;0
322;17.36;-15.73;-1.64;0.88;0
323;17.36;-15.73;-1.64;0.88;0
324;17.36;-15.73;-1.64;0.88;0
325;17.36;-15.73;-1.64;0.88;0
326;17.36;-15.73;-1.64;0.88;0
327;17.36;-15.73;-1.64;0.88;0
328;17.36;-15.73;-1.64;0.88;0
329;17.36;-15.73;-1.64;0.88;0
330;17.36;-15.73;-1.64;0.88;0
331;-0.0;0.0;0.0;6.67;0
332;-0.0;0.0;0.0;6.67;0
333;-0.0;0.0;0.0;6.67;0
334;-0.0;0.0;0.0;6.67;0
335;-0.0;0.0;0.0;6.67;0
