snapshot;grid;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
159;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
160;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
161;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
162;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
163;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
164;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
165;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
166;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
167;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
168;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
169;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
170;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
171;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
172;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
173;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
174;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
175;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
176;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
177;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
178;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
179;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
180;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
181;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
182;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
183;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
184;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
185;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
186;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
187;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
188;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
189;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
190;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
191;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
192;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
193;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
194;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
195;8.64;2.12;7.83;4.54;-4.54;-4.54;0.81;0.0;6.67
196;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
197;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
198;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
199;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
200;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
201;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
202;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
203;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
204;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
205;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
206;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
207;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
208;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
209;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
210;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
211;3.86;4.64;3.49;2.03;-2.03;-2.03;0.36;0.0;6.67
212;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
213;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
214;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
215;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
216;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
217;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
218;3.86;4.64;3.49;2.03;-2.03;-2.03;0.36;0.0;6.67
219;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
220;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
221;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
222;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
223;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
224;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
225;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
226;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
227;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
228;6.34;6.67;5.75;3.33;-3.33;-3.33;0.6;0.0;10.0
229;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
230;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
231;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
232;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
233;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
234;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
235;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
236;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
237;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
238;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
239;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
240;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
241;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
242;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
243;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
244;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
245;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
246;6.34;6.67;5.75;3.33;-3.33;-3.33;0.6;0.0;10.0
247;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
248;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
249;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
250;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
251;9.68;4.91;8.77;5.09;-5.09;-5.09;0.91;0.0;10.0
252;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
253;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
254;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
255;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
256;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
257;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
258;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
259;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
260;15.36;-1.4;13.91;8.07;-8.07;-8.07;1.45;0.0;6.67
261;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
262;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
263;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
264;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
265;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
266;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
267;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
268;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
269;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
270;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
271;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
272;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
273;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
274;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
275;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
276;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
277;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
278;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
279;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
280;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
281;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
282;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
283;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
284;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
285;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
286;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
287;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
288;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
289;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
290;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
291;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
292;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
293;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
294;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
295;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
296;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
297;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
298;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
299;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
300;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
301;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
302;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
303;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
304;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
305;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
306;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
307;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
308;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
309;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
310;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
311;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
312;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
313;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
314;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
315;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
316;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
317;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
318;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
319;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
320;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
321;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
322;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
323;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
324;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
325;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
326;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
327;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
328;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
329;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
330;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
331;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
332;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
333;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
334;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
335;-0.0;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
336;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
337;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
338;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
339;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
