snapshot;battery_storage;hydrogen_storage
210;0.0;2.6019904784728567
211;0.0;-0.7083193082709256
212;0.0;-1.5478571987509984
213;0.0;-2.5689167952808187
214;0.0;-2.7731287145867842
215;0.0;-2.636987435049475
216;0.0;-1.8201397578256184
217;9.54298576212152;-6.4026176988563535
218;10.147632760302452;-6.4026176988563535
219;0.0;-1.5705474120072171
220;8.981527835239222;-6.4026176988563535
221;2.274965816662857;0.0
222;2.5341002444546863;0.0
223;8.333691765756708;-3.0696176988548096
224;1.1133429078638528;0.0
225;7.125365794266712;-3.0696176988563533
226;0.14591834071159582;0.0
227;0.12661563959342992;0.0
228;1.8042663958439817;0.0
229;3.135233251240331;0.0
230;8.422310916489039;-3.0696176988563533
231;1.281617176794179;0.0
232;6.476561699918203;-3.0696176988563533
233;0.0;-0.6654002304225681
234;2.9782469247285084;-3.0696176988563533
235;0.0;-6.017829210225992
236;0.0;-6.402617698856354
237;0.0;-6.402617698856354
238;0.0;-6.402617698856354
239;-2.6261926140832657;-6.402617698856354
240;0.0;-6.402617698856354
241;-6.868861331361007;-6.402617698856354
242;-8.034966256424237;-6.402617698856354
243;-9.071503967591557;-6.402617698856354
244;-7.991777185125603;-6.402617698856354
245;-7.0416176165555555;-3.0696176988563546
246;-3.6728700552617752;-3.0696176988563546
247;0.34371357551158255;-3.0696176988563546
248;3.0873401070411632;-3.0696176988563546
249;6.562838189717402;-3.0696176988563546
250;6.195680257279937;-3.0696176988563546
251;4.446472043286049;-3.0696176988563546
252;3.396284977726949;-3.0696176988548096
253;3.8452373837023237;-3.0696176988563546
254;5.344478508029001;-3.0696176988563546
255;4.878566061868593;-3.0696176988563546
256;3.366948566416255;-3.0696176988563546
257;2.546356211742129;-3.0696176988563546
258;1.2938731440816191;-3.0696176988563546
259;0.0;-6.402617698856354
260;0.0;-6.402617698856354
261;0.0;-6.402617698856354
262;0.0;-6.40261769885481
263;0.0;-6.402617698856354
264;0.0;-6.402617698856354
265;0.0;-6.402617698856354
266;0.0;-6.40261769885481
267;0.0;-6.402617698856354
268;0.0;-6.40261769885481
269;0.0;-3.0696176988548096
270;0.0;-3.0696176988563546
271;0.0;-3.0696176988563546
272;0.0;-3.0696176988563546
273;0.0;-3.0696176988563546
274;0.0;-3.0696176988563546
275;0.0;-3.0696176988563546
276;0.0;-3.0696176988563546
277;0.0;-3.0696176988563546
278;0.0;-3.0696176988563546
279;0.0;-3.0696176988563546
280;0.0;-3.0696176988563546
281;0.0;-3.0696176988563546
282;0.0;-3.0696176988563546
283;0.0;-6.402617698856354
284;0.0;-6.402617698856354
285;0.0;-6.402617698856354
286;0.0;-6.402617698856354
287;0.0;-6.402617698856354
288;0.0;-6.402617698856354
289;0.0;-6.40261769885481
290;0.0;-6.402617698856354
291;0.0;-6.402617698856354
292;0.0;-6.402617698856354
293;0.0;-3.0696176988563546
294;0.0;-3.0696176988563546
295;0.0;-3.0696176988563546
296;0.0;-3.0696176988563546
297;0.0;-3.0696176988548096
298;0.0;-3.0696176988563546
299;0.0;-3.0696176988563546
300;0.0;-3.0696176988563546
301;0.0;-3.0696176988563546
302;0.0;-3.0696176988563546
