snapshot;pv;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
669;-0.0;10.24;-10.24;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
670;-0.0;10.84;-10.84;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
671;-0.0;10.93;-10.93;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
672;-0.0;10.24;2.45;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
673;-0.0;10.45;14.42;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
674;-0.0;12.22;0.47;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
675;-0.0;13.3;0.0;-0.32;12.05;6.99;-6.99;-6.99;1.25;0.0;6.67
676;-0.0;14.55;10.32;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
677;-0.0;13.69;11.18;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
678;-0.0;13.04;0.07;3.11;11.88;6.89;-6.89;-6.89;1.24;0.0;10.0
679;0.33;13.17;11.38;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
680;3.03;14.55;1.45;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
681;6.29;16.15;0.0;-1.79;20.33;11.79;-11.79;-11.79;2.11;0.0;10.0
682;6.9;17.84;0.0;-3.0;22.4;12.99;-12.99;-12.99;2.33;0.0;10.0
683;7.83;17.05;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
684;7.64;17.23;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
685;6.71;19.72;-1.56;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
686;3.22;21.64;0.02;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
687;0.23;23.41;1.23;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
688;-0.0;24.57;0.3;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
689;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
690;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
691;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
692;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
693;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
694;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
695;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
696;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
697;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
698;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
699;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
700;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
701;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
702;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
703;0.93;23.94;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
704;3.96;20.91;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
705;6.34;18.54;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
706;6.15;18.72;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
707;6.15;18.72;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
708;6.38;18.49;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
709;4.05;20.82;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
710;2.1;22.78;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
711;0.19;24.69;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
712;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
713;-0.0;29.8;-4.92;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
714;-0.0;32.91;-8.03;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
715;-0.0;31.48;-6.61;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
716;-0.0;30.45;-5.57;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
717;-0.0;30.19;-5.31;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
718;-0.0;29.37;-4.49;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
719;-0.0;28.55;-3.67;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
720;-0.0;25.96;-1.08;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
721;-0.0;21.81;3.06;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
722;-0.0;19.95;4.92;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
723;-0.0;18.44;6.43;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
