;on_wind;pv;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
1558;19.09;-0.0;-17.29;0.0;-1.8;-3.36;-0.0
1559;21.42;-0.0;-19.4;0.0;-2.02;-4.59;-0.0
1560;23.11;-0.0;-20.93;0.0;-2.18;-5.47;-0.0
1561;22.8;-0.0;-20.66;0.0;-2.15;-5.31;-0.0
1562;22.03;-0.0;-19.95;0.0;-2.07;-4.91;-0.0
1563;23.84;-0.0;-21.59;0.0;-2.25;-5.86;-0.0
1564;25.35;-0.0;-22.53;-0.48;-2.34;-6.4;-0.0
1565;26.95;-0.0;-22.53;-2.07;-2.34;-3.07;-0.0
1566;27.55;0.37;-22.53;-3.05;-2.34;-3.07;-0.0
1567;27.21;2.24;-22.53;-4.57;-2.34;-3.07;-0.0
1568;25.57;4.24;-22.53;-4.93;-2.34;-3.07;-0.0
1569;22.98;5.78;-22.53;-3.88;-2.34;-3.07;-0.0
1570;19.82;7.08;-22.53;-2.03;-2.34;-3.07;-0.0
1571;17.19;7.64;-22.49;0.0;-2.34;-3.05;-0.0
1572;15.33;6.66;-19.92;0.0;-2.07;-1.56;-0.0
1573;13.82;5.27;-17.29;0.0;-1.8;-0.03;-0.0
1574;10.88;3.26;-12.81;0.0;-1.33;2.57;-0.0
1575;7.73;1.44;-8.31;0.0;-0.86;5.18;-0.0
1576;7.08;0.09;-6.5;0.0;-0.68;6.23;-0.0
1577;7.77;-0.0;-7.04;0.0;-0.73;5.91;-0.0
1578;8.55;-0.0;-7.75;0.0;-0.81;5.51;-0.0
1579;10.06;-0.0;-9.12;0.0;-0.95;1.38;-0.0
1580;10.11;-0.0;-9.15;0.0;-0.95;1.36;-0.0
1581;10.41;-0.0;-9.43;0.0;-0.98;1.2;-0.0
1582;10.41;-0.0;-9.43;0.0;-0.98;1.2;-0.0
1583;10.62;-0.0;-9.62;0.0;-1.0;1.08;-0.0
1584;9.24;-0.0;-8.37;0.0;-0.87;1.81;-0.0
1585;9.24;-0.0;-8.37;0.0;-0.87;1.81;-0.0
1586;8.47;-0.0;-7.67;0.0;-0.8;2.22;-0.0
1587;7.04;-0.0;-6.38;0.0;-0.66;2.97;-0.0
1588;6.39;-0.0;-5.79;0.0;-0.6;3.31;-0.0
1589;5.83;-0.0;-5.28;0.0;-0.55;6.94;-0.0
1590;5.01;0.84;-5.3;0.0;-0.55;6.93;-0.0
1591;4.06;3.08;-6.46;0.0;-0.67;6.25;-0.0
1592;2.72;5.69;-7.61;0.0;-0.79;5.58;-0.0
1593;2.2;7.92;-17.24;8.91;-1.79;0.0;-0.0
1594;2.12;8.62;-9.73;0.0;-1.01;4.36;-0.0
1595;2.42;7.41;-8.9;0.0;-0.93;4.84;-0.0
1596;3.67;6.48;-9.19;0.0;-0.96;4.67;-0.0
1597;4.97;6.48;-17.24;7.59;-1.79;0.0;-0.0
1598;5.7;3.73;-8.54;0.0;-0.89;5.05;-0.0
1599;5.53;1.35;-6.23;0.0;-0.65;6.38;-0.0
1600;6.31;0.19;-5.88;0.0;-0.61;6.59;-0.0
1601;8.12;-0.0;-7.35;0.0;-0.76;5.73;-0.0
1602;8.81;-0.0;-7.98;0.0;-0.83;5.37;-0.0
1603;8.72;-0.0;-7.9;0.0;-0.82;2.08;-0.0
1604;8.77;-0.0;-7.94;0.0;-0.83;2.06;-0.0
1605;8.94;-0.0;-8.1;0.0;-0.84;1.97;-0.0
1606;8.94;-0.0;-8.1;0.0;-0.84;1.97;-0.0
1607;9.54;-0.0;-8.65;0.0;-0.9;1.65;-0.0
1608;10.75;-0.0;-9.74;0.0;-1.01;1.02;-0.0
1609;11.79;-0.0;-10.68;0.0;-1.11;0.47;-0.0
1610;11.75;-0.0;-10.64;0.0;-1.11;0.49;-0.0
1611;10.28;-0.0;-9.31;0.0;-0.97;1.27;-0.0
1612;9.85;-0.0;-8.92;0.0;-0.93;1.49;-0.0
1613;8.59;-0.0;-7.79;0.0;-0.81;5.48;-0.0
