;on_wind;pv;battery storage;hydrogen_storage;Curtailment
263;8.81;0.0;19.93;185.55;8.81
264;10.54;0.0;19.93;185.55;10.54
265;9.16;0.0;19.93;185.55;9.16
266;7.08;0.0;19.93;185.55;7.08
267;6.96;0.0;19.93;185.55;6.96
268;6.78;0.0;19.93;185.55;6.78
269;10.02;0.0;19.93;182.22;10.02
270;13.39;0.0;19.93;182.22;13.39
271;15.33;0.0;19.93;182.22;15.33
272;16.7;0.0;19.93;182.22;16.7
273;16.49;0.0;19.93;182.22;16.49
274;15.32;0.0;19.93;182.22;15.32
275;12.51;0.0;19.93;182.22;12.51
276;12.08;0.0;19.93;182.22;12.08
277;11.03;0.0;19.93;182.22;11.03
278;9.29;0.0;19.93;182.22;9.29
279;8.6;0.0;19.93;182.22;8.6
280;9.16;0.0;19.93;182.22;9.16
281;10.24;0.0;19.93;182.22;10.24
282;11.79;0.0;19.93;182.22;11.79
283;13.43;0.0;19.93;185.55;13.43
284;13.74;0.0;19.93;185.55;13.74
285;12.14;0.0;19.93;185.55;12.14
286;10.19;0.0;19.93;185.55;10.19
287;8.21;0.0;19.93;185.55;8.21
288;6.61;0.0;19.93;185.55;6.61
289;6.22;0.0;19.93;185.55;6.22
290;6.01;0.0;19.93;185.55;6.01
291;5.7;0.0;19.93;185.55;5.7
292;5.49;0.0;19.93;185.55;5.49
293;5.88;0.0;19.93;182.22;5.88
294;6.96;0.0;19.93;182.22;6.96
295;8.92;0.0;19.93;182.22;8.92
296;16.16;0.0;19.93;182.22;16.16
297;23.8;0.0;19.93;182.22;23.8
298;24.18;0.0;19.93;182.22;24.18
299;19.03;0.0;19.93;182.22;19.03
300;16.29;0.0;19.93;182.22;16.29
301;14.23;0.0;19.93;182.22;14.23
302;11.92;0.0;19.93;182.22;11.92
303;11.45;0.0;19.93;182.22;11.45
304;11.75;0.0;19.93;182.22;11.75
305;11.62;0.0;19.93;182.22;11.62
306;11.06;0.0;19.93;182.22;11.06
307;5.37;0.0;24.76;185.55;5.37
308;8.86;0.0;19.93;185.55;8.86
309;0.0;0.0;27.84;185.55;0.0
310;0.0;0.0;26.58;185.55;0.0
311;0.0;0.0;24.81;185.55;0.0
312;0.0;0.0;22.44;185.55;0.0
313;0.0;0.0;20.92;185.55;0.0
314;0.0;0.0;20.1;185.55;0.0
315;0.0;0.0;19.41;185.55;0.0
316;0.0;0.0;16.91;185.55;0.0
317;0.0;0.0;15.61;182.22;0.0
318;0.0;0.0;13.63;182.22;0.0
319;0.0;0.0;13.59;182.22;0.0
320;0.0;0.0;15.0;182.22;0.0
321;0.0;0.0;17.41;182.22;0.0
322;0.62;0.0;19.93;182.22;0.62
323;4.84;0.0;19.93;182.22;4.84
324;9.19;0.0;19.93;182.22;9.19
325;13.15;0.0;19.93;182.22;13.15
326;14.0;0.0;19.93;182.22;14.0
327;13.74;0.0;19.93;182.22;13.74
328;13.48;0.0;19.93;182.22;13.48
329;13.91;0.0;19.93;182.22;13.91
330;13.95;0.0;19.93;182.22;13.95
331;26.83;0.0;30.68;172.48;26.83
332;36.19;0.0;19.93;172.48;36.19
333;32.69;0.0;19.93;172.48;32.69
334;30.19;0.0;19.93;172.48;30.19
335;23.24;0.0;19.93;172.48;23.24
336;0.0;0.0;14.1;185.55;0.0
337;0.0;0.0;15.7;185.55;0.0
338;0.0;0.0;19.24;185.55;0.0
339;1.17;0.0;19.93;185.55;1.17
340;2.29;0.0;19.93;185.55;2.29
341;3.46;0.0;19.93;182.22;3.46
342;4.58;0.0;19.93;182.22;4.58
343;5.53;0.0;19.93;182.22;5.53
344;8.86;0.0;19.93;182.22;8.86
345;18.48;0.0;19.93;182.22;18.48
346;31.4;0.0;19.93;182.22;31.4
347;31.12;0.0;19.93;182.22;31.12
348;27.52;0.0;19.93;182.22;27.52
349;21.92;0.0;19.93;182.22;21.92
350;0.0;0.0;37.4;182.22;0.0
351;4.1;0.0;31.29;182.22;4.1
352;0.0;0.0;34.57;182.22;0.0
353;0.0;0.0;33.23;182.22;0.0
354;0.0;0.0;30.77;182.22;0.0
355;0.0;0.0;27.45;185.55;0.0
356;0.0;0.0;23.9;185.55;0.0
357;0.0;0.0;20.54;185.55;0.0
358;0.0;0.0;19.93;183.96;0.0
359;0.0;0.0;19.93;182.85;0.0
360;0.0;0.0;19.69;182.07;0.0
361;0.0;0.0;19.93;181.45;0.0
362;0.0;0.0;11.47;185.55;0.0
363;0.0;0.0;19.93;181.29;0.0
364;0.0;0.0;19.93;180.81;0.0
365;0.0;0.0;10.95;182.22;0.0
366;0.0;0.0;10.82;182.22;0.0
367;0.0;0.0;10.44;182.22;0.0
368;0.0;0.0;18.39;179.15;0.0
369;0.0;0.0;14.67;182.22;0.0
370;0.0;0.0;16.2;182.22;0.0
371;0.0;0.0;19.93;181.63;0.0
372;0.0;0.0;22.78;182.22;0.0
373;0.0;0.0;26.43;182.22;0.0
374;0.0;0.0;25.81;182.22;0.0
375;0.0;0.0;23.39;182.22;0.0
376;0.0;0.0;21.18;182.22;0.0
377;0.0;0.0;19.93;181.99;0.0
378;0.0;0.0;17.47;182.22;0.0
379;0.0;0.0;19.93;181.72;0.0
380;0.0;0.0;19.93;179.47;0.0
381;0.0;0.0;4.86;185.55;0.0
382;0.0;0.0;5.03;185.55;0.0
383;0.0;0.0;9.26;185.55;0.0
384;0.0;0.0;19.93;182.78;0.0
385;0.0;0.0;19.28;185.55;0.0
386;0.0;0.0;24.55;185.55;0.0
387;0.0;0.0;27.49;185.55;0.0
388;0.0;0.0;27.45;185.55;0.0
389;0.0;0.0;23.82;182.22;0.0
390;0.0;0.0;20.41;182.22;0.0
391;0.0;0.0;18.05;182.22;0.0
392;0.0;0.0;21.43;182.22;0.0
393;0.0;0.0;27.66;182.22;0.0
394;0.0;0.0;32.5;182.22;0.0
395;0.0;0.0;33.52;182.22;0.0
396;0.0;0.0;30.03;182.22;0.0
397;0.0;0.0;22.87;182.22;0.0
398;0.0;0.0;19.93;178.03;0.0
399;0.0;0.0;19.93;174.58;0.0
400;0.0;0.0;17.29;176.39;0.0
401;0.0;0.0;19.93;174.98;0.0
402;0.0;0.0;19.93;174.8;0.0
403;0.0;0.0;19.93;177.77;0.0
404;0.0;0.0;16.61;179.15;0.0
405;0.0;0.0;15.97;179.15;0.0
406;0.0;0.0;19.93;176.91;0.0
407;0.0;0.0;19.93;176.84;0.0
408;0.0;0.0;19.93;176.63;0.0
409;0.0;0.0;14.67;179.15;0.0
410;0.0;0.0;19.93;176.29;0.0
411;0.0;0.0;19.93;176.23;0.0
412;0.0;0.0;19.93;176.14;0.0
413;0.0;0.0;19.93;172.67;0.0
414;0.0;0.0;19.93;172.71;0.0
415;0.0;0.0;19.93;173.2;0.0
416;0.0;0.0;19.93;175.09;0.0
417;0.0;0.0;19.93;177.49;0.0
418;0.0;0.0;19.93;180.51;0.0
419;0.0;0.0;23.72;182.22;0.0
420;0.0;0.0;26.32;182.22;0.0
421;0.0;0.0;20.85;182.22;0.0
422;0.0;0.0;19.07;179.15;0.0
423;0.0;0.0;19.93;177.14;0.0
