snapshot;pv;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
170;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
171;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
172;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
173;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
174;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
175;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
176;6.83;12.2;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
177;28.7;0.0;-5.08;26.0;15.08;-15.08;-15.08;2.7;0.0;10.0
178;47.84;-13.05;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
179;47.15;-12.36;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
180;86.79;-52.0;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
181;110.03;-75.24;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
182;45.1;-10.31;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
183;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
184;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
185;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
186;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
187;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
188;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
189;-0.0;34.79;-11.61;31.51;18.28;-18.28;-18.28;3.28;0.0;6.67
190;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
191;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
192;-0.0;9.74;1.55;8.83;5.12;-5.12;-5.12;0.92;0.0;6.67
193;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
