;pv;battery storage;hydrogen_storage;Curtailment
1255;0.0;174.33;237.18;0.0
1256;39.02;174.33;241.1;39.02
1257;127.18;174.33;241.1;127.18
1258;265.91;174.33;241.1;265.91
1259;244.72;174.33;241.1;244.72
1260;15.71;318.6;241.1;15.71
1261;0.0;259.82;241.1;0.0
1262;0.0;199.68;241.1;0.0
1263;0.0;174.33;230.36;0.0
1264;0.0;166.6;226.88;0.0
1265;0.0;166.6;226.88;0.0
1266;0.0;166.6;226.88;0.0
1267;0.0;166.6;230.21;0.0
1268;0.0;166.6;230.21;0.0
1269;0.0;166.6;230.21;0.0
1270;0.0;166.6;230.21;0.0
1271;0.0;166.6;230.21;0.0
1272;0.0;166.6;230.21;0.0
1273;0.0;166.6;230.21;0.0
1274;0.0;166.6;230.21;0.0
1275;0.0;166.6;230.21;0.0
1276;0.0;166.6;230.21;0.0
1277;0.0;166.6;226.88;0.0
1278;0.0;166.6;226.88;0.0
1279;0.0;174.33;230.0;0.0
1280;0.0;175.76;241.1;0.0
1281;0.0;195.58;241.1;0.0
1282;0.0;207.88;241.1;0.0
1283;0.0;216.08;241.1;0.0
1284;0.0;212.66;241.1;0.0
1285;0.0;192.16;241.1;0.0
1286;0.0;174.33;235.38;0.0
1287;0.0;172.07;226.88;0.0
1288;0.0;166.6;226.88;0.0
1289;0.0;166.6;226.88;0.0
1290;0.0;166.6;226.88;0.0
1291;0.0;166.6;230.21;0.0
1292;0.0;166.6;230.21;0.0
1293;0.0;166.6;230.21;0.0
1294;0.0;166.6;230.21;0.0
1295;0.0;166.6;230.21;0.0
1296;0.0;166.6;230.21;0.0
1297;0.0;166.6;230.21;0.0
1298;0.0;166.6;230.21;0.0
1299;0.0;161.64;232.82;0.0
1300;0.0;166.6;230.21;0.0
1301;0.0;149.75;235.73;0.0
1302;0.0;155.98;232.82;0.0
1303;0.0;174.33;230.36;0.0
1304;0.0;174.33;236.46;0.0
1305;0.0;174.33;238.62;0.0
1306;0.0;175.08;241.1;0.0
1307;0.0;174.33;240.05;0.0
1308;0.0;174.33;233.23;0.0
1309;0.0;174.33;232.15;0.0
1310;0.0;174.33;236.1;0.0
1311;0.0;174.33;231.43;0.0
1312;0.0;166.6;226.88;0.0
1313;0.0;166.6;226.88;0.0
1314;0.0;166.6;226.88;0.0
1315;0.0;166.6;230.21;0.0
1316;0.0;166.6;230.21;0.0
1317;0.0;166.6;230.21;0.0
1318;0.0;166.6;230.21;0.0
1319;0.0;166.6;230.21;0.0
1320;0.0;166.6;230.21;0.0
1321;0.0;161.64;232.82;0.0
1322;0.0;161.64;232.82;0.0
1323;0.0;161.64;232.82;0.0
1324;0.0;161.64;232.82;0.0
1325;0.0;155.3;232.82;0.0
1326;0.0;170.33;232.82;0.0
1327;105.51;174.33;236.68;105.51
1328;239.25;174.33;241.1;239.25
1329;322.63;174.33;241.1;322.63
1330;349.28;174.33;241.1;349.28
1331;398.49;174.33;241.1;398.49
1332;388.92;174.33;241.1;388.92
1333;329.46;174.33;241.1;329.46
1334;228.32;174.33;241.1;228.32
1335;15.9;238.45;241.1;15.9
1336;0.0;172.07;226.88;0.0
1337;0.0;166.6;226.88;0.0
1338;0.0;166.6;226.88;0.0
1339;0.0;174.33;226.15;0.0
1340;0.0;174.33;226.15;0.0
1341;0.0;174.33;226.15;0.0
1342;0.0;174.33;226.15;0.0
1343;0.0;174.33;226.15;0.0
1344;0.0;166.6;230.21;0.0
1345;0.0;166.6;230.21;0.0
1346;0.0;166.6;230.21;0.0
1347;0.0;166.6;230.21;0.0
1348;0.0;166.6;230.21;0.0
1349;0.0;166.6;226.88;0.0
1350;9.67;174.33;232.82;9.67
