;pv;grid;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
1840;2.59;-0.0;-24.2;24.13;-2.52;-4.04;-0.0
1841;-0.0;-0.0;-23.16;25.57;-2.41;-3.43;-0.0
1842;-0.0;14.11;-18.66;6.49;-1.94;-0.82;-0.0
1843;-0.0;-0.0;0.0;0.0;0.0;6.67;-0.0
1844;-0.0;-0.0;0.0;0.0;0.0;6.67;-0.0
1845;-0.0;-0.0;0.0;0.0;0.0;6.67;-0.0
1846;-0.0;-0.0;0.0;0.0;0.0;6.67;-0.0
1847;-0.0;-0.0;0.0;0.0;0.0;6.67;-0.0
1848;-0.0;-0.0;-11.49;12.69;-1.2;0.0;-0.0
1849;-0.0;-0.0;-23.16;25.57;-2.41;-6.77;-0.0
1850;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1851;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1852;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1853;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1854;1.15;14.11;-13.82;0.0;-1.44;1.98;-0.0
1855;8.24;-0.0;-7.46;0.0;-0.78;5.67;-0.0
1856;22.6;-0.0;-20.47;0.0;-2.13;-1.88;-0.0
1857;32.18;-0.0;-24.2;-5.46;-2.52;-4.04;-0.0
1858;35.72;-0.0;-24.2;-9.0;-2.52;-4.04;-0.0
1859;39.27;-0.0;-24.2;-12.55;-2.52;-4.04;-0.0
1860;35.24;-0.0;-24.2;-8.52;-2.52;-4.04;-0.0
1861;25.09;1.63;-24.2;0.0;-2.52;-4.04;-0.0
1862;15.8;10.92;-24.2;0.0;-2.52;-4.04;-0.0
1863;7.09;-0.0;-17.24;11.95;-1.79;0.0;-0.0
1864;2.2;-0.0;-5.38;3.73;-0.56;6.88;-0.0
1865;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1866;-0.0;14.11;-13.32;0.6;-1.39;2.27;-0.0
1867;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1868;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1869;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1870;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1871;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1872;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1873;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1874;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1875;-0.0;-0.0;-5.38;5.94;-0.56;3.55;-0.0
1876;-0.0;8.06;-7.3;0.0;-0.76;2.43;-0.0
1877;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1878;1.34;14.11;-13.99;0.0;-1.45;1.88;-0.0
1879;4.5;-0.0;-5.38;1.44;-0.56;6.88;-0.0
1880;9.67;14.11;-21.54;0.0;-2.24;-2.49;-0.0
1881;19.44;7.28;-24.2;0.0;-2.52;-4.04;-0.0
1882;29.4;-0.0;-24.2;-2.68;-2.52;-4.04;-0.0
1883;29.02;-0.0;-24.2;-2.3;-2.52;-4.04;-0.0
1884;23.08;3.64;-24.2;0.0;-2.52;-4.04;-0.0
1885;25.57;1.15;-24.2;0.0;-2.52;-4.04;-0.0
1886;18.48;-0.0;-16.74;0.0;-1.74;0.29;-0.0
1887;8.52;14.11;-20.5;0.0;-2.13;-1.89;-0.0
1888;2.2;-0.0;-5.38;3.73;-0.56;6.88;-0.0
1889;-0.0;4.69;-5.38;1.24;-0.56;6.88;-0.0
1890;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
1891;-0.0;5.94;-5.38;0.0;-0.56;3.55;-0.0
1892;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1893;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1894;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1895;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1896;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1897;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1898;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1899;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
1900;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
