snapshot;pv;grid;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
151;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
152;1.82;14.11;0.0;1.63;14.43;8.37;-8.37;-8.37;1.5;0.0;10.0
153;5.65;14.11;0.0;-0.38;17.9;10.38;-10.38;-10.38;1.86;0.0;10.0
154;8.14;14.11;0.0;-1.69;20.15;11.69;-11.69;-11.69;2.1;0.0;10.0
155;9.86;14.11;0.0;-2.59;21.71;12.59;-12.59;-12.59;2.26;0.0;10.0
156;11.68;14.11;0.0;-3.55;23.36;13.55;-13.55;-13.55;2.43;0.0;10.0
157;11.68;14.11;0.0;-3.55;23.36;13.55;-13.55;-13.55;2.43;0.0;10.0
158;4.12;14.11;0.0;0.42;16.51;9.57;-9.57;-9.57;1.72;0.0;10.0
159;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
160;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
161;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
162;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
163;-0.0;14.11;-14.11;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
164;-0.0;14.11;-14.11;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
165;-0.0;14.11;-14.11;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
166;-0.0;14.11;-14.11;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
167;-0.0;14.11;-14.11;6.67;-0.0;-0.0;0.0;0.0;-0.0;0.0;6.67
168;-0.0;14.11;12.61;-7.37;24.2;14.04;-14.04;-14.04;2.52;0.0;6.67
169;-0.0;14.11;12.61;-7.37;24.2;14.04;-14.04;-14.04;2.52;0.0;6.67
170;-0.0;14.11;12.61;-7.37;24.2;14.04;-14.04;-14.04;2.52;0.0;6.67
171;-0.0;14.11;2.54;-2.08;15.08;8.75;-8.75;-8.75;1.57;0.0;6.67
172;-0.0;14.11;12.61;-7.37;24.2;14.04;-14.04;-14.04;2.52;0.0;6.67
