;grid;pv;battery storage;hydrogen_storage;Curtailment
558;0.0;0.0;25.57;28.84;0.0
559;0.0;0.0;25.57;29.44;0.0
560;0.0;0.0;25.57;33.82;0.0
561;14.11;0.0;25.57;33.1;0.0
562;14.11;0.0;32.94;35.47;0.0
563;14.11;0.0;33.61;35.47;0.0
564;14.11;0.0;32.85;35.47;0.0
565;14.11;0.0;25.19;35.47;0.0
566;0.0;0.0;25.57;34.17;0.0
567;0.0;0.0;21.12;31.43;0.0
568;14.11;0.0;13.64;27.7;0.0
569;0.0;0.0;25.57;28.84;0.0
570;0.0;0.0;25.57;28.84;0.0
571;0.0;0.0;25.57;32.17;0.0
572;0.0;0.0;25.57;32.17;0.0
573;0.0;0.0;25.57;32.17;0.0
574;0.0;0.0;25.57;32.17;0.0
575;0.0;0.0;25.57;32.17;0.0
576;0.0;0.0;25.57;32.17;0.0
577;0.0;0.0;25.57;32.17;0.0
578;0.0;0.0;25.57;32.17;0.0
579;14.11;0.0;19.63;27.88;0.0
580;0.0;0.0;25.57;32.17;0.0
581;0.0;0.0;25.57;28.84;0.0
582;0.0;0.0;25.57;28.84;0.0
583;0.0;0.0;25.57;29.8;0.0
584;0.0;0.0;25.57;33.92;0.0
585;5.68;0.0;25.57;35.47;0.0
586;14.11;0.0;25.57;34.46;0.0
587;10.85;0.0;25.57;35.47;0.0
588;9.32;0.0;25.57;35.47;0.0
589;3.48;0.0;25.57;35.47;0.0
590;0.0;0.0;25.57;33.32;0.0
591;0.0;0.0;25.57;29.09;0.0
592;8.17;0.0;25.57;24.55;0.0
593;2.61;0.0;25.57;27.47;0.0
594;0.0;0.0;25.57;28.84;0.0
595;0.0;0.0;25.57;32.17;0.0
596;8.17;0.0;25.57;27.88;0.0
597;0.0;0.0;25.57;32.17;0.0
598;0.0;0.0;25.57;32.17;0.0
599;0.0;0.0;25.57;32.17;0.0
600;0.0;0.0;25.57;32.17;0.0
601;0.0;0.0;25.57;32.17;0.0
602;0.0;0.0;25.57;32.17;0.0
603;8.17;0.0;25.57;27.88;0.0
604;0.0;0.0;25.57;32.17;0.0
605;0.0;0.0;25.57;28.84;0.0
606;0.0;0.0;25.57;28.84;0.0
607;0.0;0.0;25.57;28.89;0.0
608;0.0;0.0;25.57;29.95;0.0
609;0.0;0.0;25.57;31.61;0.0
610;0.0;0.0;25.57;33.47;0.0
611;0.0;0.0;25.57;33.32;0.0
612;0.0;0.0;25.57;32.66;0.0
613;0.0;0.0;25.57;31.21;0.0
614;0.0;0.0;25.57;29.65;0.0
615;0.0;0.0;25.57;28.84;0.0
616;0.0;0.0;25.57;28.84;0.0
617;0.0;0.0;25.57;28.84;0.0
618;0.0;0.0;25.57;28.84;0.0
619;0.0;0.0;25.57;32.17;0.0
620;0.0;0.0;25.57;32.17;0.0
621;0.0;0.0;25.57;32.17;0.0
622;0.0;0.0;25.57;32.17;0.0
623;0.0;0.0;25.57;32.17;0.0
624;0.0;0.0;25.57;32.17;0.0
625;0.0;0.0;25.57;32.17;0.0
626;0.0;0.0;25.57;32.17;0.0
627;0.0;0.0;25.57;32.17;0.0
628;0.0;0.0;25.57;32.17;0.0
629;0.0;0.0;25.57;28.84;0.0
630;0.0;0.0;25.57;28.84;0.0
631;0.0;0.0;25.57;28.99;0.0
